------------------------------------------------------------------
          COSMO v0.8.5 - A Quadratic Objective Conic Solver
                         Michael Garstka
                University of Oxford, 2017 - 2022
------------------------------------------------------------------

Problem:  x ∈ R^{2868},
          constraints: A ∈ R^{5531x2868} (14910 nnz),
          matrix size to factor: 8399x8399,
          Floating-point precision: Float64
Sets:     ZeroSet of dim: 2903
          DensePsdConeTriangle of dim: 2628 (72x72)
Settings: ϵ_abs = 1.0e-05, ϵ_rel = 1.0e-05,
          ϵ_prim_inf = 1.0e-04, ϵ_dual_inf = 1.0e-04,
          ρ = 0.1, σ = 1e-06, α = 1.6,
          max_iter = 1000000,
          scaling iter = 10 (on),
          check termination every 25 iter,
          check infeasibility every 40 iter,
          KKT system solver: QDLDL
Acc:      Anderson Type2{QRDecomp},
          Memory size = 15, RestartedMemory,	
          Safeguarded: true, tol: 2.0
Setup Time: 858.53ms

Iter:	Objective:	Primal Res:	Dual Res:	Rho:
1900	 2.7067e+02	1.8715e+03	1.6021e-01	2.2861e-06
1925	 2.6890e+02	1.8517e+03	1.5967e-01	2.2861e-06
1950	 2.6876e+02	1.8434e+03	1.5402e-01	2.2861e-06
1975	 2.6796e+02	1.8273e+03	1.4966e-01	2.2861e-06
2000	 2.6626e+02	1.7982e+03	1.4764e-01	2.2861e-06
2025	 2.6546e+02	3.4633e+03	1.3982e-01	2.2861e-06
2050	 2.6459e+02	1.2200e+04	1.3650e-01	2.2861e-06
2075	 2.6147e+02	5.6861e+03	1.3804e-01	2.2861e-06
2100	 2.5793e+02	4.0689e+03	1.3238e-01	2.2861e-06
2125	 2.5617e+02	8.9764e+03	1.0681e-01	2.2861e-06
2150	 2.5661e+02	5.1770e+03	8.6311e-02	2.2861e-06
2175	 2.5854e+02	1.8298e+03	8.9649e-02	2.2861e-06
2200	 2.5478e+02	3.6341e+03	9.7430e-02	2.2861e-06
2225	 2.5523e+02	1.8425e+03	8.2294e-02	2.2861e-06
2250	 2.5585e+02	1.8303e+03	8.3751e-02	2.2861e-06
2275	 2.5321e+02	1.8041e+03	8.2066e-02	2.2861e-06
2300	 2.5380e+02	1.8239e+03	7.4836e-02	2.2861e-06
2325	 2.5398e+02	1.8193e+03	7.3507e-02	2.2861e-06
2350	 2.5370e+02	1.8249e+03	7.4631e-02	2.2861e-06
2375	 2.5294e+02	1.8239e+03	7.4416e-02	2.2861e-06
2400	 2.5239e+02	1.8174e+03	6.0903e-02	2.2861e-06
2425	 2.5270e+02	1.2740e+04	2.3181e-02	2.2861e-06
2450	 2.4976e+02	2.4685e+03	3.0291e-02	2.2861e-06
2475	 2.4842e+02	1.6701e+03	1.1047e-02	2.2861e-06
2500	 2.4897e+02	1.6475e+03	6.8008e-03	2.2861e-06
2525	 2.5036e+02	1.6212e+03	7.4773e-03	2.2861e-06
2550	 2.4844e+02	1.6029e+03	8.4168e-03	2.2861e-06
2575	 2.4676e+02	1.5736e+03	1.2103e-02	2.2861e-06
2600	 2.4798e+02	1.5564e+03	1.2210e-02	2.2861e-06
2625	 2.4668e+02	1.5306e+03	8.9083e-03	2.2861e-06
2650	 2.4610e+02	1.5071e+03	1.4448e-02	2.2861e-06
2675	 2.4649e+02	1.4946e+03	1.8664e-02	2.2861e-06
2700	 2.4617e+02	1.4703e+03	1.6580e-02	2.2861e-06
2725	 2.4516e+02	1.4164e+03	2.0482e-02	2.2861e-06
2750	 2.4522e+02	1.4101e+03	2.5112e-02	2.2861e-06
2775	 2.4508e+02	1.3933e+03	2.2337e-02	2.2861e-06
2800	 2.4412e+02	1.3369e+03	2.2017e-02	2.2861e-06
2825	 2.4426e+02	1.3539e+03	2.4394e-02	2.2861e-06
2850	 2.4410e+02	1.3247e+03	2.4374e-02	2.2861e-06
2875	 2.4352e+02	2.6632e+03	2.2336e-02	2.2861e-06
2900	 2.4301e+02	3.8885e+03	2.3365e-02	2.2861e-06
2925	 2.4284e+02	1.2484e+03	2.5030e-02	2.2861e-06
2950	 2.4285e+02	1.2334e+03	2.9277e-02	2.2861e-06
2975	 2.4274e+02	1.4239e+03	3.0805e-02	2.2861e-06
3000	 2.4224e+02	1.1926e+03	3.0571e-02	2.2861e-06
3025	 2.4198e+02	1.1624e+03	3.5078e-02	2.2861e-06
3050	 2.4197e+02	1.1290e+03	3.5415e-02	2.2861e-06
3075	 2.4112e+02	1.1245e+03	3.2817e-02	2.2861e-06
3100	 2.4118e+02	1.1180e+03	3.9294e-02	2.2861e-06
3125	 2.4084e+02	1.1216e+03	3.9987e-02	2.2861e-06
3150	 2.4036e+02	1.3309e+03	3.6668e-02	2.2861e-06
3175	 2.4017e+02	1.1242e+03	3.6576e-02	2.2861e-06
3200	 2.3997e+02	1.1250e+03	3.8619e-02	2.2861e-06
3225	 2.3977e+02	3.0311e+03	4.2336e-02	2.2861e-06
3250	 2.3946e+02	3.2209e+03	3.9872e-02	2.2861e-06
3275	 2.3932e+02	2.7918e+03	3.9367e-02	2.2861e-06
